RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
1,"Albers, A",SEA,P,1,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0,0,2,0,1,0,0,2,0,*.**,8,3
1,"Blair, A",ATL,P,1,1,0,1,0,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,6,2
1,"Gilmartin, S",STL,P,2,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,2,1,0,0,0,-.--,1,1
1,"Holland, D",CWS,P,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,4,1
1,"Iglesias, R",CIN,P,60,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,0,2,1,0,0,0,-.--,2,1
1,"Kratz, E",NYY,C,4,2,0,2,1,0,0,2,0,0,0,0,1.000,1.000,1.500,2.500,0,0,0,0,3,1,0,0,0,-.--,5,2
1,"Price, D",BOS,P,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,1,1
1,"Torres, J",SD,P,57,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,0,1,0,0,0,0,-.--,2,1
9,"Ramirez, E",SEA,P,4,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,10,3
10,"Andujar, M",NYY,3B,5,7,0,4,2,0,0,4,1,0,1,0,.571,.625,.857,1.482,0,0,0,0,6,2,0,3,0,*.**,35,8
11,"Buchanan, J",ARI,P,4,2,1,1,0,0,0,1,1,1,0,0,.500,.667,.500,1.167,0,0,0,0,1,0,0,0,0,-.--,16,3
11,"Duffy, D",KC,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,6,2
11,"Enns, D",MIN,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,5,2
11,"Gallardo, Y",SEA,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,8,2
11,"Gonzales, M",SEA,P,2,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,1,0,1,0,0,1,0,*.**,12,3
11,"Jansen, K",LAD,P,59,4,0,2,1,0,0,1,0,0,0,0,.500,.500,.750,1.250,0,0,0,0,3,1,1,3,0,*.**,7,4
11,"Kluber, C",CLE,P,1,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,1,0.00,11,2
11,"Mengden, D",OAK,P,1,2,1,1,0,0,0,0,1,0,0,0,.500,.667,.500,1.167,0,0,1,0,1,0,0,2,0,*.**,18,4
11,"Meyer, A",LAA,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,9,2
11,"Morgan, A",PHI,P,36,2,0,1,0,0,0,0,1,1,0,0,.500,.667,.500,1.167,0,0,0,0,1,0,0,0,0,-.--,18,3
11,"Pena, F",BAL,C,5,10,3,5,0,0,2,2,0,3,0,0,.500,.500,1.100,1.600,0,0,0,0,11,2,0,2,0,*.**,38,10
11,"Rondon, H",CHC,P,59,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,1,0,*.**,14,2
11,"Salas, F",LAA,P,46,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,7,2
11,"Stammen, C",SD,P,57,6,2,3,1,0,0,0,2,2,0,0,.500,.625,.667,1.292,0,0,0,0,4,1,0,1,0,*.**,37,8
25,"Ceciliani, D",TOR,LF,3,5,2,2,1,0,1,3,0,0,0,0,.400,.400,1.200,1.600,0,0,0,0,6,2,0,1,2,0.50,27,5
26,"Smith Jr., D",TOR,RF,12,27,2,10,2,0,0,1,1,10,1,0,.370,.414,.444,.858,0,1,0,0,12,2,0,3,4,0.75,122,29
27,"Moran, C",HOU,3B,7,11,3,4,0,1,1,3,1,1,0,0,.364,.417,.818,1.235,0,0,0,0,9,2,0,4,2,2.00,37,12
28,"Stallings, J",PIT,C,5,14,3,5,2,0,0,3,2,2,0,0,.357,.438,.500,.938,1,0,0,0,7,2,0,4,3,1.33,61,16
29,"Florimon, P",PHI,CF,15,46,6,16,4,1,0,6,3,16,0,0,.348,.388,.478,.866,0,0,0,0,22,5,1,10,5,2.00,214,49
30,"Hazelbaker, J",ARI,CF,41,52,10,18,2,2,2,10,9,20,1,0,.346,.443,.577,1.020,2,0,0,0,30,6,0,5,9,0.56,254,61
31,"Altuve, J",HOU,2B,153,590,112,204,39,4,24,81,58,84,32,6,.346,.410,.547,.957,3,9,1,4,323,67,19,179,147,1.22,2308,662
32,"Villanueva, C",SD,3B,12,32,5,11,1,0,4,7,0,10,0,0,.344,.344,.750,1.094,0,0,0,0,24,5,0,7,4,1.75,118,32
33,"Boyd, M",DET,P,2,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,2,0,*.**,8,3
33,"Casali, C",TB,C,9,9,2,3,0,0,1,3,3,3,0,0,.333,.462,.667,1.128,0,0,0,1,6,1,0,1,3,0.33,54,13
33,"Kennedy, I",KC,P,2,3,0,1,0,0,0,0,1,0,0,0,.333,.500,.333,.833,0,0,0,0,1,0,0,2,0,*.**,16,4
33,"Marjama, M",SEA,C,5,9,1,3,1,0,1,1,0,1,0,0,.333,.333,.778,1.111,0,0,0,0,7,2,0,2,3,0.67,23,9
33,"Odorizzi, J",TB,P,2,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,0,0,1,0,1,0,0,2,1,2.00,9,4
33,"Pineda, M",NYY,P,2,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,1,0,1,0,0,1,0,*.**,11,4
33,"Rodon, C",CWS,P,3,6,0,2,1,0,0,2,0,2,0,0,.333,.333,.500,.833,0,0,1,0,3,1,0,1,2,0.50,19,7
33,"Rusin, C",COL,P,54,9,1,3,0,0,0,0,0,3,0,0,.333,.333,.333,.667,0,0,1,0,3,0,0,3,1,3.00,33,10
33,"Sale, C",BOS,P,1,3,0,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,0,0,0,0,2,1,0,1,0,*.**,12,3
33,"Shackelford, K",CIN,P,26,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,1,0,*.**,8,3
33,"Sisco, C",BAL,C,10,18,3,6,2,0,2,4,3,7,0,0,.333,.455,.778,1.232,0,1,0,0,14,4,0,3,2,1.50,96,22
33,"Stephens, J",CIN,P,7,6,1,2,0,0,0,2,0,2,0,0,.333,.333,.333,.667,0,0,0,0,2,0,0,1,1,1.00,23,6
33,"Zastryzny, R",CHC,P,4,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,1,1,1.00,6,3
46,"Blackmon, C",COL,CF,159,644,137,213,35,14,37,104,65,135,14,10,.331,.399,.601,1.000,9,10,3,3,387,86,4,153,153,1.00,2884,725
47,"Garcia, A",CWS,RF,136,518,75,171,27,5,18,80,33,111,5,3,.330,.380,.506,.885,5,9,0,1,262,50,14,150,101,1.49,1995,561
48,"Cooper, G",NYY,1B,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.822,0,0,0,1,21,6,0,7,11,0.64,184,45
