RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
209,"Flowers, T",CWS,C,112,331,21,79,12,0,9,39,21,104,0,1,0.239,0.295,0.356,0.652,0,6,2,1,118,21,8,86,73,1.18,1413,361
210,"Rasmus, C",HOU,LF,137,432,67,103,23,2,25,61,47,154,2,1,0.238,0.314,0.475,0.789,0,2,1,3,205,50,6,79,106,0.75,2011,485
211,"Casali, C",TB,C,38,101,13,24,6,0,10,18,8,34,0,0,0.238,0.304,0.594,0.898,0,2,1,1,60,16,2,26,21,1.24,441,113
212,"Snider, T",BAL,LF,69,211,23,50,9,2,3,20,23,56,1,0,0.237,0.318,0.341,0.659,1,2,0,0,72,14,3,58,50,1.16,962,236
213,"Parra, G",BAL,LF,55,224,30,53,12,0,5,20,8,35,5,1,0.237,0.268,0.357,0.625,1,2,3,1,80,17,1,75,66,1.14,846,238
214,"Marisnick, J",HOU,CF,133,339,46,80,15,4,9,36,18,105,24,9,0.236,0.281,0.383,0.665,0,5,6,4,130,28,2,82,84,0.98,1449,372
215,"Sands, J",CLE,RF,50,123,11,29,5,1,4,19,9,36,0,0,0.236,0.286,0.39,0.676,0,0,0,1,48,10,0,28,31,0.9,535,133
216,"Dozier, B",MIN,2B,157,628,101,148,39,4,28,77,61,148,12,4,0.236,0.307,0.444,0.751,2,7,0,8,279,71,10,144,206,0.7,2833,704
217,"Ladendorf, T",OAK,2B,9,17,3,4,0,1,0,2,1,2,0,0,0.235,0.278,0.353,0.631,0,0,0,0,6,1,0,5,6,0.83,64,18
217,"Machado, D",DET,SS,24,68,6,16,3,0,0,5,7,14,1,0,0.235,0.307,0.279,0.586,0,0,3,0,19,3,3,30,14,2.14,287,78
219,"Joseph, C",BAL,C,100,320,38,75,16,1,11,49,27,72,0,0,0.234,0.299,0.394,0.693,2,3,3,1,126,28,7,80,104,0.77,1364,355
220,"DeJesus, D",LAA,LF,112,288,27,67,9,2,5,30,21,52,3,2,0.233,0.297,0.33,0.626,1,6,0,2,95,16,5,86,90,0.96,1195,317
221,"McCann, B",NYY,C,135,465,68,108,15,1,26,94,52,97,0,0,0.232,0.32,0.437,0.756,3,11,0,7,203,42,7,124,150,0.83,2094,535
222,"Chirinos, R",TEX,C,78,233,33,54,16,1,10,34,28,62,0,0,0.232,0.325,0.438,0.762,0,5,5,2,102,27,4,55,73,0.75,1104,273
223,"Gomes, Y",CLE,C,95,363,38,84,22,0,12,45,13,104,0,0,0.231,0.267,0.391,0.659,1,7,0,6,142,34,11,85,107,0.79,1471,389
224,"Ackley, D",NYY,RF,108,238,28,55,11,3,10,30,18,45,2,2,0.231,0.284,0.429,0.712,0,1,3,4,102,24,3,81,67,1.21,1073,264
225,"Aviles, M",CLE,SS,98,290,37,67,10,0,5,17,20,38,3,1,0.231,0.282,0.317,0.599,0,1,5,1,92,15,18,117,92,1.27,1196,317
226,"Santana, C",CLE,1B,154,550,72,127,29,2,19,85,108,122,11,3,0.231,0.357,0.395,0.752,8,3,0,5,217,50,20,177,149,1.19,2863,666
227,"Victorino, S",LAA,LF,71,178,19,41,4,2,1,7,16,32,7,0,0.23,0.308,0.292,0.601,1,5,3,2,52,7,4,47,67,0.7,774,204
228,"Johnson, M",CWS,2B,36,100,10,23,4,0,0,4,9,30,3,2,0.23,0.306,0.27,0.576,0,2,2,0,27,4,0,32,17,1.88,472,114
229,"Pirela, J",NYY,2B,37,74,7,17,3,0,1,5,2,16,1,0,0.23,0.247,0.311,0.558,0,0,1,1,23,4,4,31,16,1.94,276,78
230,"Ryan, B",NYY,3B,47,96,10,22,6,2,0,8,5,29,0,0,0.229,0.275,0.333,0.608,0,1,1,0,32,8,1,22,25,0.88,382,103
231,"Davis, I",OAK,1B,72,214,19,49,17,0,3,20,23,44,0,0,0.229,0.301,0.35,0.652,0,0,0,2,75,20,5,81,47,1.72,933,239
232,"Conger, H",HOU,C,73,201,25,46,11,0,11,33,23,63,0,1,0.229,0.311,0.448,0.759,0,2,1,2,90,22,6,48,53,0.91,930,229
233,"Perez, R",CLE,C,70,184,30,42,9,1,7,21,33,64,0,0,0.228,0.348,0.402,0.751,1,2,5,2,74,17,9,65,29,2.24,969,226
234,"Rosales, A",TEX,2B,53,114,14,26,4,0,3,7,10,30,4,4,0.228,0.296,0.342,0.638,0,1,0,0,39,7,4,33,29,1.14,508,125
235,"Gillaspie, C",LAA,3B,75,237,14,54,15,2,4,24,13,47,0,1,0.228,0.269,0.359,0.627,2,1,0,2,85,21,2,78,62,1.26,866,253
236,"Fryer, E",MIN,C,15,22,2,5,2,0,0,2,5,11,0,0,0.227,0.37,0.318,0.689,0,0,0,0,7,2,0,3,3,1,119,27
237,"Marrero, D",BOS,SS,25,53,8,12,0,0,1,3,3,19,2,1,0.226,0.268,0.283,0.551,0,0,0,0,15,1,0,12,10,1.2,216,56
238,"Smoak, J",TOR,1B,132,296,44,67,16,1,18,59,29,86,0,0,0.226,0.299,0.47,0.768,0,2,0,1,139,35,10,95,59,1.61,1262,328
239,"Morrison, L",SEA,1B,146,457,47,103,15,3,17,54,47,81,8,4,0.225,0.302,0.383,0.685,5,4,1,2,175,35,7,145,138,1.05,1940,511
240,"Souza Jr., S",TB,RF,110,373,59,84,15,1,16,40,46,144,12,6,0.225,0.318,0.399,0.717,0,5,1,1,149,32,7,78,76,1.03,1717,426
241,"Urshela, G",CLE,3B,81,267,25,60,8,1,6,21,18,58,0,1,0.225,0.279,0.33,0.608,0,2,1,0,88,15,9,82,77,1.06,1077,288
242,"Saladino, T",CWS,SS,68,236,33,53,6,4,4,20,12,51,8,2,0.225,0.267,0.335,0.602,0,2,3,1,79,14,9,91,54,1.69,932,254
243,"Sanchez, Y",CWS,2B,120,389,40,87,23,1,5,31,19,81,2,2,0.224,0.268,0.326,0.595,0,5,6,1,127,29,9,149,88,1.69,1615,420
244,"Napoli, M",TEX,1B,133,407,46,91,20,1,18,50,57,118,3,3,0.224,0.324,0.41,0.734,3,4,0,1,167,39,11,106,104,1.02,2038,469
245,"Valbuena, L",HOU,3B,132,434,62,97,18,0,25,56,50,106,1,0,0.224,0.31,0.438,0.748,1,6,0,3,190,43,13,106,141,0.75,2056,493
