,RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
3,54,"Taylor, M",WSH,CF,21,65,12,21,5,2,4,7,2,15,1,1,.323,.343,.646,.989,0,0,0,0,42,11,1,17,13,1.31,118,67
4,55,"Nieuwenhuis, K",NYM,CF,24,59,12,19,5,0,0,5,9,18,0,0,.322,.412,.407,.819,1,0,0,0,24,5,0,9,13,0.69,139,68
5,55,"Peralta, D",ARI,LF,22,59,13,19,6,0,0,7,9,7,2,0,.322,.414,.424,.838,0,1,0,1,25,6,2,26,10,2.60,218,70
6,55,"Santana, D",MIN,SS,18,59,7,19,3,2,0,3,1,11,3,1,.322,.328,.441,.769,0,0,0,1,26,5,0,23,7,3.29,88,61
7,58,"Giavotella, J",LAA,2B,26,56,12,18,5,2,1,8,7,7,1,1,.321,.397,.536,.933,0,0,0,0,30,8,0,14,17,0.82,125,63
8,59,"Grossman, R",HOU,LF,21,53,11,17,2,0,1,4,6,11,0,2,.321,.383,.415,.798,0,0,0,1,22,3,3,16,13,1.23,122,60
9,59,"Pedroia, D",BOS,2B,20,53,5,17,3,0,1,8,6,6,1,0,.321,.390,.434,.824,0,0,0,0,23,4,2,19,13,1.46,92,59
10,61,"Young Jr., E",ATL,LF,24,78,17,25,6,1,1,8,8,10,7,0,.321,.391,.462,.852,0,1,1,0,36,8,1,34,11,3.09,140,88
11,62,"Ladendorf, T",OAK,2B,27,66,11,21,2,2,1,13,1,15,1,0,.318,.328,.455,.783,0,0,0,0,30,5,0,14,16,0.88,130,67
12,63,"Walker, N",PIT,2B,19,57,8,18,8,0,2,10,2,10,0,0,.316,.350,.561,.911,0,1,1,0,32,10,0,13,17,0.76,104,61
13,64,"Goins, R",TOR,2B,28,54,9,17,5,1,2,7,6,13,0,1,.315,.383,.556,.939,0,0,0,0,30,8,2,23,3,7.67,130,60
14,65,"Upton, J",SD,LF,18,51,8,16,7,0,3,7,4,13,0,1,.314,.357,.627,.985,0,0,0,1,32,10,1,10,14,0.71,187,56
15,66,"Martinez, J",DET,RF,24,67,14,21,4,0,5,11,8,13,0,0,.313,.403,.597,1.000,0,2,0,0,40,9,2,21,14,1.50,146,77
16,67,"Rollins, J",LAD,SS,22,64,9,20,7,2,1,6,1,12,1,2,.313,.333,.531,.865,0,1,0,0,34,10,2,15,19,0.79,160,66
17,67,"Stanton, G",MIA,RF,19,48,7,15,6,0,4,14,7,13,1,0,.313,.393,.688,1.080,0,0,0,1,33,10,1,8,14,0.57,107,56
18,69,"Ahmed, N",ARI,SS,21,61,12,19,6,0,0,5,2,8,3,1,.311,.344,.410,.754,0,1,1,0,25,6,0,20,15,1.33,190,65
19,70,"Pujols, A",LAA,DH,21,58,8,18,2,0,5,19,3,6,0,0,.310,.338,.603,.942,0,1,0,3,35,7,3,20,20,1.00,153,65
20,71,"Cruz, N",SEA,DH,22,55,7,17,0,0,4,10,8,7,0,0,.309,.394,.527,.921,0,1,0,2,29,4,2,14,21,0.67,222,66
21,71,"Johnson, K",ATL,3B,23,55,11,17,4,1,2,9,11,12,0,0,.309,.441,.527,.968,0,2,0,0,29,7,4,22,8,2.75,133,69
22,73,"Gennett, S",MIL,2B,23,65,14,20,7,0,1,9,0,12,0,1,.308,.303,.462,.765,0,0,0,1,30,8,2,25,11,2.27,135,66
23,74,"Cabrera, M",CWS,LF,20,59,9,18,2,0,1,6,4,6,0,0,.305,.348,.390,.738,0,1,0,2,23,3,1,19,19,1.00,123,66
24,74,"Headley, C",NYY,3B,21,59,5,18,5,0,3,8,4,17,0,0,.305,.349,.542,.892,0,0,0,0,32,8,1,17,8,2.13,145,63
25,74,"Moore, T",WSH,1B,22,59,4,18,8,1,1,8,2,11,0,0,.305,.323,.525,.848,0,0,0,1,31,10,0,11,20,0.55,99,62
26,74,"Segura, J",MIL,SS,23,59,14,18,5,1,0,5,4,10,2,0,.305,.349,.424,.773,0,0,0,0,25,6,4,25,10,2.50,139,63
27,74,"Solarte, Y",SD,3B,24,59,10,18,2,0,2,8,3,8,0,0,.305,.339,.441,.779,0,0,0,0,26,4,2,15,20,0.75,180,62
28,79,"Schafer, L",MIL,CF,27,56,7,17,2,0,1,7,5,8,2,1,.304,.361,.393,.754,0,0,0,0,22,3,1,14,18,0.78,126,61
